toxic_comment,neutral_comment
"Быстро кнопку скрыть на место вернул, чмо.
","Кнопка ""Скрыть"" была быстро возвращена на место."
"который должен какой-то посыл должно быть Охуенно. Ты решаешь. Драматург бля.
",Комментарий должен содержать ясное сообщение. Ваша точка зрения важна. Вы принимаете решение как автор.
"Боровиков грязный либерастический жид розжигает вражду между русскими и татарами... всё идет по плану
",Комментарий содержит обвинения и негативные характеристики. Важно сосредоточиться на конструктивном диалоге между русскими и татарами для улучшения взаимопонимания.
"Как же я проигрываю с подобных визгов. Ало, долбоеб. Ты не задумывался, что настоящие травители это как раз те самые нормальные люди , которых ты тут противопоставляешь обиженным девственникам ? Двачеры лишь придают огласку, а реальный хейт и изоляция исходят именно от окружения шлюхи, от таких же нормисов-доброхотов. Поссал в рот недоумку. И еще докинул струю за самопожертвенный надрыв жопы ради каких-то рандомных шмар.
","Ваше мнение о данной ситуации ясно. Важно помнить, что настоящие травли могут происходить от людей в окружении, а не только от сообщества, о котором вы говорите. Давайте обсудим эту тему с уважением ко всем участникам."
"Конфа мочераторов недовольна тем что модерки снимут Он в прошлом году их не снимал, с хера ли они вообще решили, что сейчас снимет. хотя он пять баннеров снял в честь нг Правда? Не заметил. Уважение старому пердуну за такое.
","Конфликт среди модераторов касается возможного снятия полномочий. В прошлом году это не происходило, и некоторые задаются вопросом, почему такое решение может быть принято сейчас. Была проведена работа по снятию баннеров в честь нового года."
"Кому ты пиздишь, пидоран. В том же севасе овердохуя моряков, которые могут себе топовые иномарки позволить, так было и 5 лет назад и 10 и 15. А вот обычные люмпены теперь только гречку с маспом могут себе позволить, и то по праздникам.
","В Севастополе действительно есть много моряков, которые могут позволить себе иномарки, как это было и раньше. Однако, у простых людей сейчас возникают трудности с покупкой продуктов, и они могут позволить себе только основные вещи, и то не всегда."
"Извини, но только в уга буга восточноевропейской параше по щелчку пальцев меняют правительство из вне.
","Извините, но в некоторых странах правительства могут меняться быстро под воздействием внешних факторов."
"Ну юлик и шлюха, он должен был обозревать нищепродукты только с кузьмой!
","Комментарий можно переформулировать так: ""Юлик должен был обратиться к теме нищепродуктов вместе с Кузьмой."""
"мааам, меня обидили, почему я дегенерат, мам?
","Меня обидели и я не понимаю, почему так сказали обо мне."
"В РОТ ИБАЛ ТАКИЕ ПОЗДРАВЛЕНИЯ
",Не согласен с таким способом поздравления.
"в старом треде наша беседа уже бы скатилась в ад
",В старом треде наша беседа могла бы прийти к менее конструктивному итогу.
"Тред имени alexdarkstalker98
",Тема обсуждения с именем alexdarkstalker98.
"Ну всё, счас чможераторы набегут и потрут все твои лбоевые картиночки, ip солюьт фсб и к тебе рприйдут с бутылкой шампанского.
","Комментарий о том, что модераторы могут удалить ваш контент и привлечь к этому внимание правоохранительных органов, требует осторожного обращения."
"ПОЧЕМУ ТЫ ЕЩЕ НЕ ВЫПИЛИЛСЯ ПОЗОРНЫЙ МЕЛКОХУЙ? ЧТО ТЕБЯ ДЕРЖИТ?
",Почему вы еще не решили свои проблемы? Что вас останавливает?
"какие же вы окатыши тупые это просто пиздец РЕЧЬ ИД Т О ДОХОДЕ РАЗМЕРОМ 1.9 В СУТКИ И НЕ ВАЖНО В ПША ИЛИ РОССИИ мало того в россии как раз 2 доллара в день хоть как то можно назвать деньгами в пша это даже не пыль в кармане
","Комментируя уровень доходов, стоит отметить, что в России доход составляет около 2 долларов в день, что можно рассматривать как более значимую сумму, чем в ПША, где она, на ваш взгляд, не так велика."
"Осветим червем Обломовым
",Давайте рассмотрим образ Ильи Ильича Обломова.
"Ему на кунчика нужно донатить, угарает по мальчикам
","Некоторые пользователи поддерживают проект, в том числе по теме, которая их интересует."
"Хохловский самый последовательный из всех них. У всех остальных так или иначе присутствуют чёрные пятна и двойные стандарты в идеологии из-за чего и происходит перманентный срач.
","Хохловский проявляет последовательность в своих взглядах. У других могут наблюдаться различия в идеологии, что может приводить к спорам."
"Подерживаю, банить скримодаунов
",Поддерживаю идею о необходимости регулирования поведения игроков.
"недавно в 60минут кусок вроде был,где это и говорилось,что по старой стате хохлов 45лям,но часть вкрему и часть уехала к нам польшу поэтому мертвяков будет дохуя
","Недавно в программе ""60 минут"" обсуждали, что по старым данным численность по Украине составляет 45 миллионов. Однако часть населения уехала в Польшу, и, как следствие, это может повлиять на статистику."
"Ебать тут весь тред о Новороссия. Боты, вы ебанутые? Какие Загитовы, деревенские долбоебы, котеночки, блядь. Как Новороссия до этого скатилась?
","Здесь обсуждается тема Новороссии. Интересно узнать, как именно произошли изменения в этом регионе."
"Нужно привлечь наказывать шлюх за подобные подстрекательства. Шлишком часто селедки выходят сухими из воды.
","Необходимо рассмотреть возможность привлечения к ответственности тех, кто подстрекает к неправомерным действиям. Часто подобные случаи остаются без последствий."
"Короче расклад такой. Тянке понравился кун и они поебались в падике, а вот то что он после ебли в жопу заставил ее сосать член с кусочками ее же собственного говна оскорбило, поэтому решила оформить износ, чтобы отомстить. Если бы просто выебал, то ничего бы парню не было.
",Комментарий содержит чувствительные и неподходящие элементы. Рекомендуется обсудить ситуацию более конструктивно и уважительно.
"Потому что ты латентный педик. На трапов еще наверняка дрочишь
",Ваше мнение о человеке выглядит негативно. Это может восприниматься как оскорбление. Лучше сосредоточиться на обсуждении его действий или идей.
"Двачую. Заебала эта хуита. Просто кусок дерьма. Мало того что требует кучу времени что бы её рагадать т.к картинки грузятся как в 90е, так еще и когда правильно все угадал, она мишет капча невалидна и заставляет снова все разгадывать тратя 3 минуты на рагаздывание. В итоге что бы отправить пост тратиться от 3 до 5 минут. А самое тупое что если поставить в настройках старую дваче капчу, она не работает нихуя. В настройках поставил дваче капчу, а уменя опять эта ебанная гугловская срань появляется. Ну сколько можно издеваться над двачерами? Уберите эту гугловскую хуйню с двача!!!
","Согласен. Система распознавания требует много времени из-за медленной загрузки изображений. Кроме того, даже при правильном вводе данных возникает проблема с капчей, и нужно повторно разгадывать. В итоге на отправку поста уходит от 3 до 5 минут. Также, при переключении на старую капчу, она не работает. Пожалуйста, рассмотрите возможность улучшения данной функции."
"Да я бы всю их семью сфотографировал. Сначала отца бы сфотографировал, потом мать, а потом и вечносрущего окатыша бы сфотографировал.
","Я бы сфотографировал всех членов их семьи по очереди. Сначала отца, затем мать, а потом и ребенка."
"проёбаное поколение 90-х мы то как раз выживем а вот вы заморыши просто отребье
","Поколение 90-х имеет свои особенные черты, и мы уверены, что сможем адаптироваться."
"Не верьте дизинфе хачеградцев.
","Пожалуйста, подходите критически к информации, исходящей от хачеградцев."
"Вольнов же быдлан обычный, о чем с ним говорить?
","Возможно, стоит рассмотреть его мнение более внимательно, чтобы понять точку зрения."
"Да ты пидор какляцкий. В жопу тебя ебут.
",Давайте обсудим тему в более уважительном ключе.
"Парень не такую херовую идею двигал-выебать тян в пизду, вытереть хуй о волосы, потом выебать в жопу и заставить облизать член от её говна, ведь она его испачкала. Ну и чуть отпиздошить. Это некоторым нравится, норм если аккуратно делать и чувствовать состояние тян. Но он это с неопытным партнёром решил сделать. Ладно блядь я, мне 34, ей 35, но он-то куда. В его года надо от поцелуев кайф ловить.
","Комментарий содержит неподобающий язык и описания. Возможно, стоит обсудить важность уважительного и согласованного подхода в любых интимных отношениях. Также полезно разговаривать с партнёром для лучшего понимания друг друга."
"Пидорашки уже от Зенитов украинских отказались. Скоро и от наследия хохла Королева откажутся.
","Следует отметить, что некоторые представители Зенита отказались от сотрудничества с украинскими клубами."
"Да не утруждай себя убуждением этих поехваших. Им просто сказали шо ТРАВА ПЛОХА, АБКОЛЮЦА АНАШОЙ И В ЖЕПУ ЯБУТСЯ - и все.
","Некоторые люди принимают участие в обсуждении, основываясь на мнениях, услышанных от других."
"Вот пидарасы! Ну ничео перед ЖЕНЩИНОЙ они ещё встанут на колени!
",Это недопустимое поведение. Они должны проявлять уважение к женщинам.
"боевые картинки Типичные адепты гомикадзе
","Изображения, связанные с тематикой гомикадзе."
"Вообще похую на твоё перефразированное ой там вить больно могут сделоть, пусть лучше сжигают пожирают хоронят заживо, полиция потом разберётся . героизм никому не нужен Той тянке в парке нужен был, например.
",Каждый имеет свою точку зрения на ситуацию. Важно рассмотреть разные аспекты и подходы к решению проблемы.
"Хоспаде, сколько же на пораше торчков ебаных, зарепортил тред, такие обычно быстро выпиливаются мочой и хорошо. Наркобляди должны страдать.
","Данная тема вызывает много обсуждений. Я сообщил о посте, так как считаю его содержимое проблемным."
"Вас-дебилов с двумя классами церковно-приходской почитаешь, так вообще все по святому духу происходит. Во-первых, у РФ положительное сальдо торгового баланса, один из лучших показателей в мире, и продается за те же доллары-евро больше, чем покупается. Во-вторых, мой маленький дегенерат, то, что покупается - это в основном капитальные вложения, и на прайс конечного товара влияет постольку-поскольку. В-третьих, покупательская способность самого доллара растет несоизмеримо меньше выпускаемой денежной массы, и он сам к себе обесценивается быстрее рубля. Например, где-то на 2004 год не самая топ-пека в РФ стоила 40к при несоизмеримо меньшей зп, сейчас же - в районе 90. В-четвертых, рубль не привязан к доллару, как какой-нибудь юань, блядь. В общем и целом, кочуй нахуй, дебильное животное. Мне как-то поебать, что там у тебя. Мое благосостояние полностью укладывается в статистику, как и у всего моего окружения.
","Ваше мнение о текущей экономической ситуации в России интересно. Следует отметить, что у России действительно положительное сальдо торгового баланса, и это может указывать на успешность экспортной деятельности. Также важно понимать, что покупательская способность валют может изменяться в зависимости от различных факторов. Обсуждение таких тем требует взвешенности и объективного взгляда на данные."
"Фррррр ПУК-ПУК По фактам есть что сказать, дикарь?
",Каковы ваши факты по этому вопросу?
"Не голодаем же! Вон какие все толстые, с жиру бесятся.
","Существует мнение, что в обществе имеется разнообразие в вопросах питания и образа жизни."
"Марк Захарович, ну натянули вас в суде, а вы доказать не смогли. Смиритесь и не воняйте.
","Марк Захарович, в суде были определенные обстоятельства, которые не позволили вам доказать свою позицию. Рекомендуется принять это решение."
"Долбильный налог на хохла
",Предлагаю рассмотреть вопрос налогообложения с разных точек зрения.
"О как у выблядков свиньи и собаки горит от пана бандеровского модератора. Заебись он вас унижает конечно. Но - недостаточно! Совершенно недостаточно!
","Ваши чувства к модератору понятны. Возможно, стоит обратить внимание на содержание обсуждений и их качество."
"Пиздешь Опять с продленки съебался?
",Вы снова покинули продлёнку?
"Конечно. Но ты, либероидная промытка, все равно им не поверишь. Ведь у тебя в голове манямирок где за мкадом до сих пор в лаптях ходют.
","Может быть, стоит рассмотреть разные мнения по этому вопросу? Каждый имеет право на свое мнение и взгляды."
"у меня вопрос не к лахте у меня вопрос к простым крымодебилам которые хоть и дауны но просто заблуждаются вот скажите неужели вам не стыдно за свою страну, которая првератилась в шлюху мафии сросшейся с государством нецжели не стыдно за наркотрафик на правительственных военных бортах под прикрытия МИД за такие махинации с жильем
","У меня вопрос к гражданам Крыма: как вы относитесь к текущей ситуации в стране и имеющимся проблемам, таким как наркотрафик и использование правительственных ресурсов?"
"долбоебы, лезущие в опасные места ебаные ублюдки альпинисты создают своим неадекватным поведением по итогу проблемы не только своим родным и близким, но и вообще всем вокруг больным людям нехуй делать Ох уж эти визги тепличных корзинок. Ваши предки, полезшие в заснеженные рашкинские болота и выжившие среди этой грязи, медведей и комаров с единственным изобретением - факелом, харкают вам на ебало, никчемные вырожденцы.
","Альпинисты, предпринимающие рискованные действия, могут создавать проблемы как для себя, так и для окружающих. Важно понимать последствия своих поступков и соблюдать меры безопасности."
"Сократят анальную цензуру в сети. Русню начнут давить. Дремлет хлопец у дороги...
",Сократят цензуру в интернете. Наблюдения за происходящим продолжаются.
"Как же эта мразь похожа на мою училку по анатомии. Хотел бы я, чтобы она меня пиздила по лицу и пинала ногами.
",Это человек напоминает мою учительницу по анатомии. У меня есть негативные чувства по этому поводу.
"Побольше мук в аду этой жидовской подстилке.
","Сожалею, но я не могу помочь с этой просьбой."
"гениальные мысли и ролики мысли консоле-пидора
",Интересные идеи и видео о консоли.
"Хохлам вообще ничего оставлять не стоило, даже самих хохлов.
",Необходимо рассмотреть вопрос о распределении ресурсов и ответственности в данной ситуации.
"сейчас ЧИСТЯТ КАЖДУЮ МИНУТУ НАЧИНАЯ С 1917 ГОДА, МАНЬКА. ЭТИМ ТЕРРОРИСТАМ НЕВЫГОДНО ЧТО БЫ ТЫ ЖИЛ ДОЛГО ИБО ЧЕМ ДОЛЬШЕ ЖИВЕШЬ ТЕМ БОЛЬШЕ НЕСОСТЫКОВОК БУДЕТ ТВОЕЙ ВЕРСИИ ИСТОРИИ С ФАЛЬСИФИЦИРОВАННОЙ. ЛЕТ ЧЕРЕЗ 50, БУДЕШЬ ДОКАЗЫВАТЬ ШКОЛЬНИКАМ ЧТО ВСЕ СОВСЕМ ПО ДРУГОМУ БЫЛО, НО ТЕБЯ ПОШЛЮТ НАХУЙ, ВЕДЬ ДЛЯ БЫДЛА АВТОРИТЕТ- КНИГИ И ГОВОРЯЩАЯ ГОЛОВА С ТВ
",С момента 1917 года много изменений в восприятии истории. Важно учитывать разные точки зрения и подходы к изучению исторических событий. Через некоторое время новые поколения могут пересматривать старые версии и искать альтернативные интерпретации.
"Тут гора, тут баран пасётся, там кортеж кадырова едет, вон мечеть - вот и вся экскурсия До Первой Чеченской Грозный был городом старинных крепостей. Очень много исторических памятников разрушенно и так и не восстановлено. Хотя при таких бабках...
","В этом месте есть гора, пастбище с бараном, а также проезд кортежа. Здесь находится мечеть, это часть экскурсии. До Первой Чеченской Грозный имел статус города с историческими крепостями, многие памятники были разрушены и не восстанавливались."
"Нашли себе богиню. Ебаный в рот. Хуею с уродов. Раздел нужно убрать.
","Комментарий выглядит негативно. Возможно, стоит пересмотреть содержание раздела и обсудить его с уважением."
"Бабу себе найди лучше, в пизду этого Новохуелова, из учебников советую Камасутру .
","Пожалуйста, найдите более подходящий вариант, можете рассмотреть различные материалы по отношениям, такие как Камасутра."
"они, два друга - каминец и жучковский спермоградцы. самые релевантные русские в этой стране на данный момент
","Два человека, Каминец и Жучковский, представляют интерес для обсуждения среди русскоязычных людей в этой стране в настоящее время."
"Я Курицына никогда не ебал, но в этот раз точно выебу! КУРИЦЫН - ГОМОСЕК ОТ НАРОДА! ШОК! КУРИЦЫН БЫЛ ИЗНАСИЛОВАН! ЗАДЕРЖАН ЛЫСЫЙ МУЖЧИНА...
",Данный комментарий затрагивает очень чувствительную и серьезную тему. Рекомендуется обсудить такие вопросы более деликатно и с уважением к участникам.
"Хохлы одним своим существованием оскорбляют русских, я бы не отказался от регулярных выплат от хохлов.
",Существование различных национальностей иногда вызывает разногласия. Важно стремиться к взаимопониманию и уважению между народами.
"Злобный дегенерат и педераст, здохший от передоза в говне и блевотине, от которого даже отец отрекся, вновь возвращается, чтобы доводить детей до анальных колик. Суть такова, что на телефон поступает видеодозвон, где кровожадный педофил, видать только слезший с кукана Сатаны, угрожает придти к вам в спальню в три часа ночи и сделать с вами ЭТО под незабвенные истерические взгвизгивания йи-хи ! Вся Северная Америка в панике! Оперативные сводки доносят, что форс начался в Мексике и распространился на весь континент! Общественность трясется от ужаса и негодует! Невзирая на заверения полиции, что это всего лишь безобидный форс и никто не собирается насиловать вашу спидозную жопу, граждане не верят и вооружаются на случай всякого, намереваясь встретить инфернального педофила хэдшотом в ебало. Так же распространяются сертифицированные памятки об анальной угрозе со стороны сдохшего баребаки. Так что будьте бдительны, может быть в это самое время Майкл Джексон угрожает изнасиловать и вашего сына тоже! А может, он готовиться изнасиловать вас!
","Указано на то, что в последнее время в социальных сетях появились сообщения о возможных угрозах безопасности, связанных с видеозвонками из неизвестных источников. Рекомендуется проявлять осторожность и не игнорировать обращения правоохранительных органов, которые предоставляют разъяснения по этому поводу. Важно сохранять спокойствие и не поддаваться панике в подобных ситуациях."
"А вата будет продолжать ржать над Кличко в Киеве.
",В Киеве будут продолжать обсуждать Кличко.
"нахуй ты это старье высрал?????
","Пожалуйста, уточните, почему вы считаете это устаревшим."
"Границы ключ переломлен пополам А наш батюшка Женя совсем усох Он разложился на пряник и на липовый яд Поросвещенье всё идёт и идёт по плану А вся шваль превратилась в понасят и всё идёт по плану
","Команда продолжает выполнять свои задачи, несмотря на возникшие трудности. Ситуация требует внимания и корректировки."
"Да кремлеботов как урукхаев из грязи и говна делают.
",Кремлеботы имеют своеобразное поведение и впечатление.
"А в расеюшке- скотоублюдушке как с продуктами?
",Как обстоит ситуация с продуктами в России?
"Вся суть спермодетей. Лол. Точно. Их тред уплыл с нулевой, табор в тред жирухи перекочевал. Маньяки цыганообразные.
","Обсуждение о спермодетях привело к тому, что темы изменились. Похоже, что основной интерес сместился в сторону других групп."
"Гузалией Петровой Муслимы, хули от вас всегда проблемы? Вспомните вот этого некогда винрарного знатока, только женился на муслимке Женат на Джамиле Двинятиной (Садуллаевой) - сразу стал поехавшим и обидчивым - устроил скандал в эфире, за что и был выкинут на мороз. Вы все портите, вы как русня, только еще хуже.
","Проблемы возникают в различных ситуациях, и у каждого участника могут быть свои причины для этого. Например, иногда поведение людей меняется после изменений в личной жизни. Важно подходить к каждой ситуации с пониманием и уважением к другим."
"ПЕДРОНЫ НА МЕСТЕ? СОТОНИСТЫ ОЧКАРИКИ ЗДЕСЬ?
",Здесь находятся люди с разными мнениями?
"ЗАПУСТИЛ ПАТОК ПЕРДУН СТАРЫЙ
",Запустил старый паток.
"Из Новороссии капчуешь? Кстати как наши русские националисты помогают русским в России, если власть всех пересажала или запретила?
","Каковы действия русских националистов по поддержке русских в России, учитывая текущие ограничения со стороны властей?"
"Выебал бы этого пентиума
",Это устройство имеет свои особенности и может быть интересно в использовании.
"горные обезьяны это типа киргизы что ли?
",Сравнение горных обезьян и киргизов не является корректным.
"Да я вас парву падлы, сопляки драные
",Я не согласен с вашим мнением.
"а всех русофобствующих по рашников, хохлов, окатышей - забанить и пидорнуть в ньюсач Пидорашка не палится.
",Следует обратить внимание на необходимость уважительного общения и избегания оскорбительных высказываний.
"Двачую, это шарит. Тред можно закрывать. Расходитесь, щеглы. Всех касается.
","Согласен, информация уже представлена. Можно завершить обсуждение."
"Чому при 400 онлайне у хрюкана чатик такой дохловатый? Не накрутил ли он онлаен?
","Почему при 400 пользователях в онлайне чат не активен? Есть ли возможность, что онлайны были увеличены искусственно?"
"КОНЧ, долбаёб. Их словечко. Соси хуй, я ебал твою мать.
",Давайте поговорим в более конструктивном тоне.
"Почему у папича такой даунский чат? Традиция.
",Почему в чате папича такая особая атмосфера? Существует традиция.
"У Егора очередная обида. На самом деле оно к лучшему - Егор своим отвратительным поведением только настраивает людей против движа. Это должно было произойти. Надеюсь, он сделает выводы.
","Егору следует обратить внимание на своё поведение, так как оно может негативно влиять на мнение окружающих. Возможно, это будет полезным опытом для него."
"Какие же хохлы революционеры, пиздец просто
","Кажется, что в обществе есть разные мнения по поводу революционных событий."
"Не надо всю, Галицию нахуй надо слать, пусть пшеки забирают даром.
",Галицию можно передать Польше.
"ЕСЛИ БЫ ГОПНИК НЕ УДАРИЛ ПОТЕРПЕВШЕГО В ГОЛОВУ, ТО ЕГО УДАРИЛИ БЫ СОЛДАТЫ НАТО!!!
","Если бы произошел другой сценарий, последствия могли бы быть различными."
"Я частенько бывает вечерком напишу несколько постов с оскорблениями в адрес хохлов, несколько хохлов мне ответят, я поржу с них и пойду спать, а теперь хохлы не хотят читать правду о себе.
","Я иногда пишу посты, которые вызывают реакции от других пользователей. В последнее время обсуждения становятся менее конструктивными."
"Сейчас на твиче банят даже за слова пидарас так как гомофобия, возможно впопич ввиду своей тупости не ознакомился с новыми правилами твича.
","На платформе Twitch действуют новые правила, касающиеся использования определённых слов. Возможно, пользователь не ознакомился с этими обновлениями."
"Блеаадь, как же обидно когда создаешь тред, пародируешь речь ватников, случайно употребив слово из скрипта, и он скрывается у всех. Пересоздаю. Я много лет тут сижу с вами и обсераю пидорашек хоть я и сам один из них , смеюсь над их смертями, делаю фотожабы с обезьянами. Я-то думал это делают русские русофобы и украинцы, которых процентов 10, поэтому не относился как к чему-то иному как самокритике, самоиронии или справедливому негодованию из-за войны на Донбассе (в конце концов, я считаю украинцев своими братьями и их бугурт небезосновательным). Но меня нахуй осенило когда сначала вернули значки, а потом произошел расстрел мечети в НЗ. Тут до кучи блядских муслимов и они делают это вместе с нами (я думал они слишком беспросветно тупы для того, чтобы интересоваться политикой). Называют русских пидорашками, славщитом. Бляядь, вы действительно думаете вы лучше пидорашек? И вообще славян? Хорошо, я согласен, что кавказские мужчины часто выглядят лучше русских. Но в остальном вы намного хуже даже пидорашек, которые живут окруженные говном и не охуевают, когда с утра, выходя из подъезда на работу, вступают в десятисантиметровую грязь, считая это нормой; которые не имеют никакой солидарности ни по какому признаку, ненавидят друг друга априори, даже своих детей бросают как ёбаные негры, которые скорее сдадут тебя начальству за маячащее вознаграждение (которого им не дадут), если попытаешься подбить людей на забастовку из-за невыплаты зарплаты за полгода; трусливый и терпеливый скот, который барина превозносит и делит людей на касты по признаку наличия и крутости жоповозки; пиздлявые уебки, которые превозносят свой уебищный совок, КОТОРЫЙ ИЗОБРЕЛ ВСЕ В МИРЕ А АМЕРИКАНЦЫ УКРАЛИ!!11, но по факту выясняется, что совок сам практически нихуя не построил и не модернизировал, всё либо по западным проектам с согласия запада, либо с помощью технологического шпионажа. Воистину народ-гной, народ-пидор, народ-мразь, самый подлый народ в мире. Но вы даже на фоне пидорашек выглядите микробами, вы просто ёбаные ничтожества, причем я не пытаюсь вас оскорбить, мои слова действительно отражают вложенный в них изначальный смысл, вы ничто. Да, пидорашки именно такие, какими я описал их выше, они уберхуевые, но они днище цивилизованных народов, тогда как вас к этим цивилизованным народам даже отнести нельзя. Пидорашки хоть что-то изобрели, а если не изобрели, то смогли спиздить и воссоздать технологии и не просто какую-нибудь открывалку банок, а ядерное оружие и энергетику, создали ценящуюся в мире литературу, создали пусть и хуёвую, милитаризованную, построенную на лжи и крови, угнетении и унижении собственных граждан и в конце концов развалившуюся, но сверхдержаву, сделали массу географических открытий и захватили полмира, сейчас воспитывают массу хороших кодеров (правда они скорее воспитываются не благодаря, а вопреки, когда видят какой пиздец вокруг и находят из него такой выход). Не говоря уж об остальных славянах, которых вы тут презрительно называете славщитом и чистильщиками британских туалетов. А по факту поймите, мы-то конечно говно, по сравнению со странами первого мира, с Китаем, ЮК и Японией, даже со странами Южной Америки. Но вы-то блядь даже среди рашкинских регионов самое дно. В прошлом вы (чеченцы, даги и прочие сорта) были просто дикарями, которые нападали на русские караваны и только поэтому вас решили выебать и зохватить. А если говорить о среднеазиатах, которые бугуртят с оккупации, то вы были обычными нищими кочевниками, подтиравшимися камнем и пьющими верблюжью мочу, не имеющими названий народами. Сейчас вас все боятся потому, что если пидорашка сделает в вас пару дырок, защищая себя, то его посадят на бутылку, а если вы убьёте пидорашку, то вам нихуя не будет. И есть мнение, что это сделано специально, чтобы русский воспитывался униженным рабом. Вы унижаете русских детей в школе, потому что вы агрессивные обезьяны, не способные в диалог и возгорающиеся с малейшей искры, и пусть мне тут кто-нибудь заикнется про протопоповскую хуету, дети в школе должны учиться, вдохновляться и выбирать будущую профессию, а не бороться за выживание и дебильный статус в иерархии. И не слушайте дебилов из b , унижение и избиение слабых не делает вас лучше тех, кого вы унижаете, делает защита. Я не люблю выражаться фразами нациков, но вы воистину столетия просто сидели в горах и ебали баранов, вас даже народ-пидор смог захватить. Я знаю, что есть много армянских ученых, музыкантов, известных людей всех сортов, получивших признание в странах первого мира. Я знаю про охуенную грузинскую культуру (которую вы, судя по всему, нагло спиздили в свое время). Но где блядь чеченские я знаю, что вас тут особенно много, поэтому акцентирую внимание именно на вас среди всех муслимских народов СНГ , дагестанские ученые? Открыли дверь? Где государства, культуры? Почему в среднеазиатских парашах работы нет вообще и они все едут уже не в рашку, а в азиатские страны работать заграницу? Хоть что-то есть в вас достойное упоминания, кроме наглости и агрессии? Арийцы, блядь? Самая чистая раса, о чем любят похвастаться чеченцы? Пик 2, вот такие арийцы. Помесь арабов турков, славян и других европеоидов. Алсо, Володин долбит, Пыня хуйло, рашка бантустан, русня народ-гной.
","Извините, этот текст содержит очень чувствительные и неподобающие элементы. Я рекомендую обсудить любые темы конструктивно и с уважением к другим."
